Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,EOQ,std_dev_demand,Lead times,Safety Stock,Total Order Quantity,Forecasted Demand
skincare,SKU19,51.12387009,100,187,2553.495585,Unknown,48,94,3,Carrier A,4.742635883,Supplier 4,Chennai,20,694,16,82.37332059,Fail,3.646450865,Road,Route C,477.3076311,96.69539802906858,0.0,11.0,0,96.69539802906858,"[187, 187, 187, 187, 187, 187, 187, 187, 187, 187, 187, 187]"
skincare,SKU20,96.34107244,22,320,8128.027697,Unknown,27,68,6,Carrier A,8.878334651,Supplier 1,Chennai,29,309,6,65.68625961,Pass,4.231416574,Air,Route B,493.8712153,126.49110640673517,0.0,12.0,0,126.49110640673517,"[320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320]"
cosmetics,SKU21,84.89386898,60,601,7087.052696,Unknown,69,7,6,Carrier B,6.037883769,Supplier 5,Chennai,19,791,4,61.73572895,Pending,0.018607568,Air,Route C,523.3609147,173.34935823359717,0.0,25.0,0,173.34935823359717,"[601, 601, 601, 601, 601, 601, 601, 601, 601, 601, 601, 601]"
haircare,SKU22,27.67978089,55,884,2390.807867,Unknown,71,63,10,Carrier A,9.567648921,Supplier 4,Kolkata,22,780,28,50.12083961,Fail,2.591275473,Rail,Route C,205.5719958,210.23796041628637,,1.0,0,210.23796041628637,"[884, 884, 884, 884, 884, 884, 884, 884, 884, 884, 884, 884]"
cosmetics,SKU23,4.324341186,30,391,8858.367571,Unknown,84,29,7,Carrier A,2.924857601,Supplier 5,Kolkata,11,568,29,98.60995724,Pending,1.342291563,Rail,Route A,196.3294461,139.82131454109563,0.0,5.0,0,139.82131454109563,"[391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391]"
haircare,SKU24,4.156308359,32,209,9049.077861,Male,4,2,8,Carrier C,9.741291689,Supplier 2,Bangalore,28,447,3,40.3823597,Pending,3.691310293,Air,Route A,758.7247726,102.22524150130437,0.0,26.0,0,102.22524150130437,"[209, 209, 209, 209, 209, 209, 209, 209, 209, 209, 209, 209]"
haircare,SKU25,39.62934399,73,142,2174.777054,Male,82,52,3,Carrier C,2.231073681,Supplier 4,Kolkata,19,934,23,78.28038312,Pending,3.797231217,Road,Route B,458.5359457,84.26149773176358,0.0,11.0,0,84.26149773176358,"[142, 142, 142, 142, 142, 142, 142, 142, 142, 142, 142, 142]"
haircare,SKU26,97.44694662,9,353,3716.493326,Male,59,48,4,Carrier B,6.507548621,Supplier 2,Bangalore,26,171,4,15.97222976,Pass,2.119319737,Rail,Route A,617.8669165,132.85330255586422,0.0,16.0,0,132.85330255586422,"[353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353]"
cosmetics,SKU27,92.55736081,42,352,2686.457224,Unknown,47,62,8,Carrier C,7.406750953,Supplier 5,Mumbai,25,291,4,10.52824507,Fail,2.864667838,Sea,Route B,762.4591822,132.664991614216,0.0,9.0,0,132.664991614216,"[352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352, 352]"
cosmetics,SKU28,2.397274706,12,394,6117.324615,Female,48,24,4,Carrier B,9.898140508,Supplier 1,Mumbai,13,171,7,59.42938181,Fail,0.815757079,Air,Route A,123.4370275,140.356688476182,0.0,15.0,0,140.356688476182,"[394, 394, 394, 394, 394, 394, 394, 394, 394, 394, 394, 394]"
cosmetics,SKU29,63.44755919,3,253,8318.903195,Female,45,67,7,Carrier B,8.100973145,Supplier 1,Kolkata,16,329,7,39.29287559,Pass,3.878098937,Road,Route B,764.9353759,112.47221879201993,0.0,5.0,0,112.47221879201993,"[253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253]"
haircare,SKU30,8.022859211,10,327,2766.342367,Male,60,35,7,Carrier B,8.954528315,Supplier 4,Kolkata,27,806,30,51.6348934,Pending,0.965394705,Road,Route C,880.0809882,127.86711852544421,,26.0,0,127.86711852544421,"[327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327, 327]"
skincare,SKU31,50.84739305,28,168,9655.135103,Male,6,44,4,Carrier B,2.679660965,Supplier 3,Chennai,24,461,8,60.25114566,Pending,2.989000007,Rail,Route C,609.3792066,91.6515138991168,,17.0,0,91.6515138991168,"[168, 168, 168, 168, 168, 168, 168, 168, 168, 168, 168, 168]"
skincare,SKU32,79.20993602,43,781,9571.550487,Unknown,89,64,4,Carrier C,6.599104901,Supplier 3,Kolkata,30,737,7,29.69246715,Pass,1.946036119,Road,Route A,761.1739095,197.61072845369503,0.0,13.0,0,197.61072845369503,"[781, 781, 781, 781, 781, 781, 781, 781, 781, 781, 781, 781]"
cosmetics,SKU33,64.795435,63,616,5149.99835,Non-binary,4,95,9,Carrier C,4.858270503,Supplier 5,Chennai,1,251,23,23.85342751,Fail,3.541046012,Sea,Route A,371.2552955,175.49928774784243,,17.0,0,175.49928774784243,"[616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616, 616]"
skincare,SKU34,37.46759233,96,602,9061.710896,Unknown,1,21,7,Carrier A,1.019487571,Supplier 1,Chennai,4,452,10,10.75427282,Pass,0.646604559,Road,Route B,510.3580004,173.49351572897473,0.0,26.0,0,173.49351572897473,"[602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602, 602]"
cosmetics,SKU35,84.95778682,11,449,6541.329345,Female,42,85,8,Carrier C,5.28818999,Supplier 1,Delhi,3,367,2,58.00478704,Pass,0.541154098,Sea,Route C,553.4204712,149.83324063771698,0.0,27.0,0,149.83324063771698,"[449, 449, 449, 449, 449, 449, 449, 449, 449, 449, 449, 449]"
skincare,SKU36,9.813002579,34,963,7573.402458,Female,18,28,3,Carrier B,2.107951267,Supplier 2,Delhi,26,671,19,45.53136424,Fail,3.805533379,Air,Route C,403.8089742,219.4310825749169,0.0,23.0,0,219.4310825749169,"[963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963]"
skincare,SKU37,23.39984475,5,963,2438.33993,Female,25,21,9,Carrier A,1.532655274,Supplier 3,Kolkata,24,867,15,34.34327747,Pending,2.610288085,Sea,Route A,183.932968,219.4310825749169,0.0,8.0,0,219.4310825749169,"[963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963]"
cosmetics,SKU38,52.07593068,75,705,9692.31804,Non-binary,69,88,5,Carrier B,9.235931437,Supplier 5,Mumbai,10,841,12,5.930693646,Pending,0.613326899,Air,Route B,339.6728699,187.7498335551859,0.0,1.0,0,187.7498335551859,"[705, 705, 705, 705, 705, 705, 705, 705, 705, 705, 705, 705]"
skincare,SKU39,19.12747727,26,176,1912.465663,Female,78,34,3,Carrier A,5.562503779,Supplier 2,Kolkata,30,791,6,9.005807429,Fail,1.451972204,Air,Route B,653.6729946,93.8083151964686,,29.0,0,93.8083151964686,"[176, 176, 176, 176, 176, 176, 176, 176, 176, 176, 176, 176]"
skincare,SKU40,80.54142417,97,933,5724.95935,Female,90,39,8,Carrier C,7.22959514,Supplier 1,Kolkata,18,793,1,88.1794071,Pending,4.213269431,Road,Route A,529.808724,215.98611066455177,0.0,20.0,0,215.98611066455177,"[933, 933, 933, 933, 933, 933, 933, 933, 933, 933, 933, 933]"
skincare,SKU41,99.11329162,35,556,5521.205259,Female,64,38,8,Carrier B,5.773263744,Supplier 4,Chennai,18,892,7,95.33206455,Fail,0.045302262,Sea,Route A,275.5243711,166.73332000533065,0.0,19.0,0,166.73332000533065,"[556, 556, 556, 556, 556, 556, 556, 556, 556, 556, 556, 556]"
skincare,SKU42,46.52916761,98,155,1839.609426,Female,22,57,4,Carrier C,7.526248327,Supplier 5,Bangalore,26,179,7,96.42282064,Fail,4.939255289,Road,Route A,635.6571205,88.03408430829505,0.0,27.0,0,88.03408430829505,"[155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155, 155]"
haircare,SKU43,11.74327178,6,598,5737.425599,Unknown,36,85,9,Carrier B,3.694021268,Supplier 5,Mumbai,1,206,23,26.27736596,Pending,0.372304768,Air,Route A,716.0441198,172.91616465790582,0.0,29.0,0,172.91616465790582,"[598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598, 598]"
cosmetics,SKU44,51.35579091,34,919,7152.286049,Female,13,72,6,Carrier C,7.577449657,Supplier 2,Delhi,7,834,18,22.55410662,Fail,2.96262632,Rail,Route A,610.4532696,214.35951110226017,,19.0,0,214.35951110226017,"[919, 919, 919, 919, 919, 919, 919, 919, 919, 919, 919, 919]"
haircare,SKU45,33.78413803,1,24,5267.956808,Male,93,52,6,Carrier B,5.215155009,Supplier 2,Chennai,25,794,25,66.31254444,Pass,3.219604612,Rail,Route A,495.305697,34.64101615137755,,7.0,0,34.64101615137755,"[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
haircare,SKU46,27.0822072,75,859,2556.767361,Non-binary,92,6,8,Carrier B,4.070955837,Supplier 3,Chennai,18,870,23,77.32235321,Pending,3.648610593,Road,Route B,380.4359371,207.24381776062705,0.0,29.0,0,207.24381776062705,"[859, 859, 859, 859, 859, 859, 859, 859, 859, 859, 859, 859]"
skincare,SKU47,95.71213588,93,910,7089.47425,Male,4,51,9,Carrier B,8.978750756,Supplier 1,Kolkata,10,964,20,19.71299291,Pending,0.380573587,Rail,Route A,581.6023551,213.3072900770154,0.0,15.0,0,213.3072900770154,"[910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910]"
haircare,SKU48,76.03554443,28,29,7397.071005,Non-binary,30,9,3,Carrier C,7.095833157,Supplier 2,Mumbai,9,109,18,23.12636358,Fail,1.698112541,Rail,Route B,768.651914,38.07886552931954,0.0,16.0,0,38.07886552931954,"[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29]"
cosmetics,SKU49,78.89791321,19,99,8001.613207,Unknown,97,9,6,Carrier C,2.505621033,Supplier 5,Delhi,28,177,28,14.14781544,Pass,2.825813985,Rail,Route A,336.8901685,70.35623639735144,0.0,24.0,0,70.35623639735144,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]"
cosmetics,SKU50,14.20348426,91,633,5910.88539,Female,31,82,10,Carrier A,6.247860915,Supplier 2,Delhi,20,306,21,45.17875792,Fail,4.754800805,Rail,Route B,496.2486503,177.90446874657195,0.0,23.0,0,177.90446874657195,"[633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633]"
haircare,SKU51,26.70076097,61,154,9866.465458,Male,100,52,1,Carrier A,4.783000558,Supplier 5,Bangalore,18,673,28,14.19032834,Pending,1.772951172,Road,Route A,694.9823176,87.74964387392122,0.0,4.0,0,87.74964387392122,"[154, 154, 154, 154, 154, 154, 154, 154, 154, 154, 154, 154]"
skincare,SKU52,98.03182966,1,820,9435.762609,Male,64,11,1,Carrier B,8.63105218,Supplier 1,Mumbai,10,727,27,9.166849149,Pending,2.122471619,Air,Route C,602.8984988,202.48456731316588,0.0,11.0,0,202.48456731316588,"[820, 820, 820, 820, 820, 820, 820, 820, 820, 820, 820, 820]"
skincare,SKU53,30.34147071,93,242,8232.334829,Male,96,54,3,Carrier B,1.013486566,Supplier 1,Delhi,1,631,17,83.34405899,Pending,1.410347576,Air,Route B,750.7378407,110.0,,25.0,0,110.0,"[242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242]"
haircare,SKU54,31.14624316,11,622,6088.02148,Non-binary,33,61,3,Carrier B,4.305103471,Supplier 1,Kolkata,26,497,29,30.18602338,Pass,2.478771976,Road,Route B,814.0699966,176.351920885484,0.0,22.0,0,176.351920885484,"[622, 622, 622, 622, 622, 622, 622, 622, 622, 622, 622, 622]"
haircare,SKU55,79.85505834,16,701,2925.67517,Male,97,11,5,Carrier A,5.014364955,Supplier 2,Delhi,27,918,5,30.32354526,Fail,4.548919659,Sea,Route B,323.012928,187.21645226849054,0.0,11.0,0,187.21645226849054,"[701, 701, 701, 701, 701, 701, 701, 701, 701, 701, 701, 701]"
skincare,SKU56,20.98638604,90,93,4767.020484,Non-binary,25,83,5,Carrier C,1.774429714,Supplier 1,Mumbai,24,826,28,12.83628457,Pass,1.173755495,Air,Route B,832.2108087,68.19090848492928,0.0,23.0,0,68.19090848492928,"[93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93]"
haircare,SKU57,49.26320535,65,227,1605.8669,Unknown,5,51,1,Carrier B,9.160558535,Supplier 2,Delhi,21,588,25,67.77962299,Pending,2.51117483,Rail,Route A,482.1912386,106.53637876331258,0.0,18.0,0,106.53637876331258,"[227, 227, 227, 227, 227, 227, 227, 227, 227, 227, 227, 227]"
skincare,SKU58,59.84156138,81,896,2021.14981,Non-binary,10,44,7,Carrier A,4.938438565,Supplier 3,Delhi,18,396,7,65.04741509,Fail,1.73037472,Road,Route B,110.3643352,211.66010488516724,0.0,5.0,0,211.66010488516724,"[896, 896, 896, 896, 896, 896, 896, 896, 896, 896, 896, 896]"
cosmetics,SKU59,63.82839835,30,484,1061.618523,Non-binary,100,26,7,Carrier B,7.293722597,Supplier 1,Kolkata,11,176,4,1.900762244,Fail,0.447194015,Air,Route A,312.5742736,155.56349186104046,0.0,16.0,0,155.56349186104046,"[484, 484, 484, 484, 484, 484, 484, 484, 484, 484, 484, 484]"
skincare,SKU60,17.02802792,16,380,8864.08435,Female,41,72,8,Carrier C,4.381368158,Supplier 4,Mumbai,29,929,24,87.21305782,Fail,2.853090617,Rail,Route A,430.169097,137.84048752090223,0.0,27.0,0,137.84048752090223,"[380, 380, 380, 380, 380, 380, 380, 380, 380, 380, 380, 380]"
haircare,SKU61,52.0287499,23,117,6885.589351,Unknown,32,36,7,Carrier C,9.030340423,Supplier 4,Kolkata,14,480,12,78.70239397,Fail,4.367470538,Air,Route A,164.3665282,76.48529270389177,0.0,23.0,0,76.48529270389177,"[117, 117, 117, 117, 117, 117, 117, 117, 117, 117, 117, 117]"
cosmetics,SKU62,72.79635396,89,270,3899.746834,Unknown,86,40,7,Carrier C,7.291701389,Supplier 2,Mumbai,13,751,14,21.04864273,Pass,1.874001404,Sea,Route C,320.8465158,116.1895003862225,0.0,2.0,0,116.1895003862225,"[270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270]"
skincare,SKU63,13.01737679,55,246,4256.949141,Non-binary,54,10,4,Carrier A,2.457933528,Supplier 3,Bangalore,18,736,10,20.07500398,Pending,3.63284329,Sea,Route A,687.2861779,110.90536506409417,0.0,19.0,0,110.90536506409417,"[246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246]"
skincare,SKU64,89.63409561,11,134,8458.730878,Female,73,75,6,Carrier C,4.585353468,Supplier 1,Delhi,17,328,6,8.693042426,Fail,0.159486315,Air,Route C,771.2250847,81.8535277187245,0.0,27.0,0,81.8535277187245,"[134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 134]"
skincare,SKU65,33.69771721,72,457,8354.579686,Male,57,54,8,Carrier C,6.580541348,Supplier 5,Kolkata,16,358,21,1.597222743,Fail,4.911095955,Rail,Route C,555.8591037,151.16216457830973,0.0,24.0,0,151.16216457830973,"[457, 457, 457, 457, 457, 457, 457, 457, 457, 457, 457, 457]"
skincare,SKU66,26.03486977,52,704,8367.721618,Female,13,19,8,Carrier A,2.216142729,Supplier 5,Kolkata,24,867,28,42.08443674,Fail,3.448063288,Road,Route A,393.8433486,187.6166303929372,0.0,17.0,0,187.6166303929372,"[704, 704, 704, 704, 704, 704, 704, 704, 704, 704, 704, 704]"
skincare,SKU67,87.75543235,16,513,9473.798033,Unknown,12,71,9,Carrier C,9.147811545,Supplier 1,Mumbai,10,198,11,7.057876147,Pass,0.131955444,Sea,Route C,169.2718014,160.15617378046966,0.0,9.0,0,160.15617378046966,"[513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513, 513]"
haircare,SKU68,37.93181238,29,163,3550.218433,Non-binary,0,58,8,Carrier B,1.194251865,Supplier 2,Bangalore,2,375,18,97.11358156,Fail,1.983467872,Rail,Route A,299.7063031,90.27735042633894,0.0,8.0,0,90.27735042633894,"[163, 163, 163, 163, 163, 163, 163, 163, 163, 163, 163, 163]"
skincare,SKU69,54.86552852,62,511,1752.381087,Non-binary,95,27,3,Carrier B,9.70528679,Supplier 4,Kolkata,9,862,7,77.62776581,Pending,1.362387989,Air,Route A,207.6632062,159.84367363145782,0.0,1.0,0,159.84367363145782,"[511, 511, 511, 511, 511, 511, 511, 511, 511, 511, 511, 511]"
haircare,SKU70,47.91454182,90,32,7014.887987,Female,10,22,4,Carrier B,6.315717755,Supplier 1,Bangalore,22,775,16,11.44078182,Pass,1.830575599,Road,Route C,183.2728987,40.0,,12.0,0,40.0,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
cosmetics,SKU71,6.381533163,14,637,8180.337085,Female,76,26,6,Carrier A,9.228190317,Supplier 2,Bangalore,2,258,10,30.66167748,Pending,2.078750608,Road,Route A,405.1670679,178.46568297574746,0.0,2.0,0,178.46568297574746,"[637, 637, 637, 637, 637, 637, 637, 637, 637, 637, 637, 637]"
cosmetics,SKU72,90.20442752,88,478,2633.121981,Non-binary,57,77,9,Carrier A,6.59961416,Supplier 1,Bangalore,21,152,11,55.7604929,Pending,3.213329607,Rail,Route B,677.9445698,154.59624833740307,0.0,29.0,0,154.59624833740307,"[478, 478, 478, 478, 478, 478, 478, 478, 478, 478, 478, 478]"
cosmetics,SKU73,83.85101768,41,375,7910.886916,Male,17,66,5,Carrier B,1.512936837,Supplier 4,Chennai,13,444,4,46.8702388,Fail,4.620546065,Road,Route A,866.4728001,136.93063937629154,,25.0,0,136.93063937629154,"[375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375, 375]"
haircare,SKU74,3.170011414,64,904,5709.945296,Female,41,1,5,Carrier A,5.23765465,Supplier 4,Delhi,1,919,9,80.58085216,Fail,0.396612724,Rail,Route A,341.5526568,212.60291625469299,0.0,6.0,0,212.60291625469299,"[904, 904, 904, 904, 904, 904, 904, 904, 904, 904, 904, 904]"
skincare,SKU75,92.99688423,29,106,1889.07359,Non-binary,16,56,10,Carrier C,2.473897761,Supplier 1,Chennai,25,759,11,48.06478264,Pass,2.030069089,Air,Route C,873.129648,72.80109889280519,0.0,20.0,0,72.80109889280519,"[106, 106, 106, 106, 106, 106, 106, 106, 106, 106, 106, 106]"
haircare,SKU76,69.10879955,23,241,5328.375984,Male,38,22,10,Carrier A,7.054538337,Supplier 2,Bangalore,25,985,24,64.3235978,Pending,2.180037452,Rail,Route A,997.4134501,109.77249200050075,,1.0,0,109.77249200050075,"[241, 241, 241, 241, 241, 241, 241, 241, 241, 241, 241, 241]"
haircare,SKU77,57.44974296,14,359,2483.760178,Unknown,96,57,4,Carrier B,6.780946626,Supplier 1,Kolkata,26,334,5,42.95244475,Pass,3.055141818,Road,Route B,852.5680989,133.9776100697426,,28.0,0,133.9776100697426,"[359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359]"
haircare,SKU78,6.306883176,50,946,1292.458418,Unknown,5,51,5,Carrier B,8.467049771,Supplier 5,Mumbai,25,858,21,71.12651472,Pending,4.096881332,Sea,Route C,323.5922034,217.48563170931544,0.0,4.0,0,217.48563170931544,"[946, 946, 946, 946, 946, 946, 946, 946, 946, 946, 946, 946]"
haircare,SKU79,57.05703122,56,198,7888.723268,Non-binary,31,20,1,Carrier B,6.496325364,Supplier 3,Bangalore,5,228,12,57.87090292,Pending,0.165871627,Air,Route C,351.5042193,99.498743710662,0.0,25.0,0,99.498743710662,"[198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198, 198]"
skincare,SKU80,91.12831835,75,872,8651.672683,Unknown,39,41,2,Carrier C,2.833184679,Supplier 3,Chennai,8,202,5,76.96122802,Fail,2.849662199,Sea,Route B,787.7798505,208.806130178211,,14.0,0,208.806130178211,"[872, 872, 872, 872, 872, 872, 872, 872, 872, 872, 872, 872]"
haircare,SKU81,72.81920693,9,774,4384.4134,Unknown,48,8,5,Carrier B,4.066277502,Supplier 3,Delhi,28,698,1,19.78959294,Pending,2.547547122,Rail,Route B,276.7783359,196.72315572906,0.0,6.0,0,196.72315572906,"[774, 774, 774, 774, 774, 774, 774, 774, 774, 774, 774, 774]"
skincare,SKU82,17.03493074,13,336,2943.381868,Unknown,42,72,1,Carrier A,4.708181874,Supplier 2,Mumbai,6,955,26,4.465278435,Pending,4.137877049,Road,Route C,589.9785556,129.6148139681572,0.0,19.0,0,129.6148139681572,"[336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336]"
haircare,SKU83,68.91124621,82,663,2411.754632,Unknown,65,7,8,Carrier B,4.949839578,Supplier 1,Bangalore,20,443,5,97.7305938,Fail,0.773006134,Road,Route A,682.9710182,182.07141456033125,,24.0,0,182.07141456033125,"[663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663, 663]"
haircare,SKU84,89.10436729,99,618,2048.2901,Unknown,73,80,10,Carrier A,8.381615625,Supplier 5,Chennai,24,589,22,33.80863651,Pass,4.843456577,Air,Route B,465.457006,175.78395831246945,0.0,26.0,0,175.78395831246945,"[618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618, 618]"
